Target_HDS,Drug_Descriptor,Indication,Publication_Count,News_Count,Geography,Therapy_Area,Count_Trials,Grants,Alliances,Transactions,Total_Amount,Hot/Not
3,24,17,2,13,0,0,18,0,3,1,426.6,1
2,24,1,5,0,0,8,0,0,0,0,0,0
2,24,1,3,0,0,8,1,0,1,0,0,0
2,6,21,3,0,0,12,0,0,1,0,0,0
3,24,21,54,0,0,12,3,0,0,0,0,1
3,24,21,54,0,1,12,0,0,2,1,1018.5,1
2,6,21,6,1,0,12,1,0,0,1,30.0642,0
2,24,21,6,0,0,12,1,0,0,1,30.0642,0
4,20,11,7,2,0,5,0,0,1,0,2331,1
4,20,11,7,0,0,5,0,0,0,0,0,1
3,14,13,10,3,1,9,2,0,1,1,50,1
3,20,13,2000,3,0,6,6,0,0,0,0,1
4,20,13,2000,1,0,6,0,0,1,1,39066.87,1
1,11,13,2000,0,0,6,1,0,1,2,968.24,1
1,20,13,0,0,0,6,0,1,0,0,0.2411,1
4,20,13,0,0,0,6,0,0,0,0,0,1
4,20,13,7,0,0,6,0,0,2,0,2331,1
2,22,13,0,0,0,6,0,0,1,0,0,0
4,22,13,2000,0,0,6,0,0,2,0,0,1
4,24,13,2000,0,0,6,0,0,1,0,0,1
4,22,13,2000,0,0,6,0,0,0,0,0,1
4,14,13,2000,0,0,6,0,0,0,0,0,1
3,16,13,2,0,0,6,1,0,1,1,406.6,1
2,14,13,0,0,0,6,0,0,2,1,34,0
2,6,13,2000,7,0,6,0,0,3,3,183.905,1
2,20,5,9,0,0,3,0,0,0,0,0,0
2,6,5,1,0,0,3,0,0,0,0,0,0
4,14,5,2000,0,0,3,0,0,0,0,0,1
3,6,5,2000,0,0,3,0,0,1,2,2795.005,1
2,24,5,1,0,0,3,0,0,0,1,49.61,0
2,6,5,2000,7,0,3,0,0,3,3,183.905,1
2,6,5,54,3,0,3,2,0,2,1,24999.91,1
2,24,17,1,0,0,0,0,0,0,0,0,0
3,16,17,2,0,0,0,0,0,1,1,406.6,1
3,16,17,2,0,0,0,0,0,0,0,0,1
2,11,17,3,0,0,0,0,0,1,1,79.1,0
